,case_id,law_id,cited_article,law_type
110458,62013CO0177,32009R0207,ENTIRE_ARTICLE,R
110466,62013CO0193,32009R0207,ENTIRE_ARTICLE,R
110496,62013CO0227,31999R0659,ENTIRE_ARTICLE,R
110509,62013CO0278,32001R1049,A04P7,R
110524,62013CO0285,32009R0207,ENTIRE_ARTICLE,R
110579,62013CO0301,32009R0207,A08P1LB,R
110602,62013CO0324,31994R0040,ENTIRE_ARTICLE,R
110637,62013CO0342,31993L0013,NPT1LQ,L
110638,62013CO0348,32001L0029,A03P1,L
110652,62013CO0374,31994R0040,A08P1LB,R
110684,62013CO0389,32001R1049,ENTIRE_ARTICLE,R
110693,62013CO0411,32009R0207,ENTIRE_ARTICLE,R
110701,62013CO0412,32009R0207,A77P1,R
110720,62013CO0414,32009R0207,ENTIRE_ARTICLE,R
110774,62013CO0448,32009R0207,A07P1LB,R
110785,62013CO0450,32009R0207,A57P7,R
110794,62013CO0466,32009R0207,ENTIRE_ARTICLE,R
110803,62013CO0468,32009R0207,A65P2,R
110807,62013CO0490,32009R0207,A65P6,R
110812,62013CO0494,31994R0040,A08P1LB,R
110816,62013CO0495,31994R0040,A08P1LB,R
110820,62013CO0496,31994R0040,A08P1LB,R
110830,62013CO0500,32006L0112,ENTIRE_ARTICLE,L
110841,62013CO0509,31994R0040,A08P1LB,R
110849,62013CO0521,32009R0207,A76,R
110879,62013CO0535,32009R0207,ENTIRE_ARTICLE,R
110888,62013CO0574,31999R0659,A14P3,R
110906,62013CO0598,31971R1408,N3,R
110913,62013CO0602,31993L0013,A07P1,L
110925,62013CO0622,31994R0040,A56P1LA,R
110943,62013CO0624,31999R0659,ENTIRE_ARTICLE,R
110955,62013CO0646,31971R1408,N3,R
110968,62013CO0654,32006L0112,A183,L
110972,62013CO0668,31971R1408,N3,R
110978,62013CO0669,31994R0040,ENTIRE_ARTICLE,R
110986,62013CO0675,32009R0207,A08P1LB,R
110993,62013CO0676,32009R0207,A08P1LB,R
111005,62013CO0683,32003L0088,ENTIRE_ARTICLE,L
111069,62014CJ0004,32001R0044,ENTIRE_ARTICLE,R
111163,62014CJ0007,31993R2454,ENTIRE_ARTICLE,R
111181,62014CJ0008,31993L0013,ENTIRE_ARTICLE,L
111199,62014CJ0012,31971R1408,ENTIRE_ARTICLE,R
111232,62014CJ0016,32006L0112,ENTIRE_ARTICLE,L
111270,62014CJ0025,32004L0018,A65,L
111324,62014CJ0031,32009R0207,A43P1,R
111330,62014CJ0032,31993L0013,ENTIRE_ARTICLE,L
111364,62014CJ0037,31999R0659,C13,R
111403,62014CJ0040,31987R2658,TR1AP5LB,R
111423,62014CJ0042,32006L0112,ENTIRE_ARTICLE,L
111482,62014CJ0047,32001R0044,ENTIRE_ARTICLE,R
111520,62014CJ0049,31993L0013,ENTIRE_ARTICLE,L
111575,62014CJ0050,32004L0018,N2B,L
111590,62014CJ0051,31987R2658,N1,R
111608,62014CJ0053,31993R2454,ENTIRE_ARTICLE,R
111615,62014CJ0055,32006L0112,A168,L
111624,62014CJ0058,31987R2658,NT5E,R
111652,62014CJ0061,32004L0018,ENTIRE_ARTICLE,L
111704,62014CJ0063,31999R0659,A14P3,R
111753,62014CJ0067,32004L0038,ENTIRE_ARTICLE,L
111788,62014CJ0072,31972R0574,TIT3,R
111795,62014CJ0074,32003R0001,C5,R
111951,62014CJ0087,32003L0088,ENTIRE_ARTICLE,L
111973,62014CJ0089,31999R0659,C13,R
111984,62014CJ0094,32001R0044,ENTIRE_ARTICLE,R
112009,62014CJ0095,31992R2913,A60,R
112036,62014CJ0096,31993L0013,ENTIRE_ARTICLE,L
112060,62014CJ0097,32006L0112,TIT5CH3S2,L
112136,62014CJ0105,32006L0112,ENTIRE_ARTICLE,L
112200,62014CJ0108,32006L0112,A11L2,L
112206,62014CJ0110,31993L0013,ENTIRE_ARTICLE,L
112209,62014CJ0111,32006L0112,ENTIRE_ARTICLE,L
112241,62014CJ0114,32006L0112,TIT9,L
112259,62014CJ0115,32004L0018,ENTIRE_ARTICLE,L
112319,62014CJ0125,32009R0207,A51,R
112325,62014CJ0126,32006L0112,A63,L
112342,62014CJ0128,31977L0388,A11LAP1LB,L
112510,62014CJ0141,31992L0043,A06P4,L
112528,62014CJ0143,31987R2658,ENTIRE_ARTICLE,R
112559,62014CJ0144,32006L0112,ENTIRE_ARTICLE,L
112615,62014CJ0147,32009R0207,A09P1LB,R
112648,62014CJ0151,32005L0036,ENTIRE_ARTICLE,L
112664,62014CJ0154,32003R0001,A23P2,R
112672,62014CJ0155,32003R0001,A23,R
112740,62014CJ0160,31977L0187,ENTIRE_ARTICLE,L
112755,62014CJ0161,32006L0112,N3PT10BIS,L
112783,62014CJ0165,32004L0038,ENTIRE_ARTICLE,L
